//идентификатор;факты-посылка;факт-следствие;описание;

// тип → класс
r1;f1;f101;Рыцарь -> боевой класс;
r2;f2;f102;Маг -> магический класс;
r3;f3;f103;Наемник -> вольный класс;
r4;f4;f104;Жрица -> духовный класс;
r5;f5;f105;Варвар -> дикий класс;

// класс + королевство → роль
r6;f101,f6;f120;Боевой класс + Алендор -> рыцарь Алендора;
r7;f101,f7;f121;Боевой класс + Моргир -> рыцарь Моргира;
r8;f101,f8;f122;Боевой класс + Тарн -> рыцарь Тарна;
r9;f101,f9;f123;Боевой класс + Хольм -> рыцарь Хольма;
r10;f101,f10;f124;Боевой класс + Эльдаран -> рыцарь Эльдарана;

r11;f102,f6;f125;Маг + Алендор -> маг Алендора;
r12;f102,f7;f126;Маг + Моргир -> маг Моргира;
r13;f102,f8;f127;Маг + Тарн -> маг Тарна;
r14;f102,f9;f128;Маг + Хольм -> маг Хольма;
r15;f102,f10;f129;Маг + Эльдаран -> маг Эльдарана;

// роль + регион → зона действия
r16;f120,f11;f150;Рыцарь Алендора + север -> зона 1;
r17;f120,f12;f151;Рыцарь Алендора + леса -> зона 2;
r18;f120,f13;f152;Рыцарь Алендора + равнины -> зона 3;
r19;f120,f14;f153;Рыцарь Алендора + горы -> зона 4;
r20;f120,f15;f154;Рыцарь Алендора + болота -> зона 5;

r21;f125,f11;f150;Маг Алендора + север -> зона 1;
r22;f125,f12;f151;Маг Алендора + леса -> зона 2;
r23;f125,f13;f152;Маг Алендора + равнины -> зона 3;
r24;f125,f14;f153;Маг Алендора + горы -> зона 4;
r25;f125,f15;f154;Маг Алендора + болота -> зона 5;

// зона + сущность → угроза
r26;f150,f16;f180;Зона 1 + дракон -> угроза 1;
r27;f150,f17;f181;Зона 1 + гоблины -> угроза 2;
r28;f150,f18;f182;Зона 1 + тролли -> угроза 3;
r29;f150,f19;f183;Зона 1 + зверь -> угроза 4;
r30;f150,f20;f184;Зона 1 + нежить -> угроза 5;

// угроза + артефакт → путь решения
r51;f180,f21;f230;Угроза 1 + меч -> путь 1;
r52;f180,f22;f231;Угроза 1 + посох -> путь 2;
r53;f180,f23;f232;Угроза 1 + амулет -> путь 3;
r54;f180,f24;f233;Угроза 1 + щит -> путь 4;
r55;f180,f25;f234;Угроза 1 + кольцо -> путь 5;

r56;f181,f21;f235;Угроза 2 + меч -> путь 6;
r57;f181,f22;f236;Угроза 2 + посох -> путь 7;
r58;f181,f23;f237;Угроза 2 + амулет -> путь 8;
r59;f181,f24;f238;Угроза 2 + щит -> путь 9;
r60;f181,f25;f239;Угроза 2 + кольцо -> путь 10;

// путь + состояние → великий квест
r121;f230,f36;f300;Путь 1 + угроза миру -> защитить север;
r122;f231,f36;f301;Путь 2 + угроза миру -> изгнание тьмы;
r123;f232,f36;f302;Путь 3 + угроза миру -> победа над драконом;

r124;f233,f40;f303;Путь 4 + рост тьмы -> очистить храм;
r125;f234,f40;f304;Путь 5 + рост тьмы -> остановить нежить;

r126;f235,f38;f305;Путь 6 + пророчество -> исполнить пророчество огня;
r127;f236,f38;f306;Путь 7 + пророчество -> восстановить магию;

r128;f237,f39;f307;Путь 8 + ослабление магии -> уничтожить амулет тьмы;
r129;f238,f39;f308;Путь 9 + ослабление магии -> защитить башню магов;
r130;f239,f39;f309;Путь 10 + ослабление магии -> освободить разумы;


// Финальное фиктивное правило — собирает нужные элементы в целевой факт
r1000;f302,f304,f308;f1000;Целевой квест;
