r1;f1;f101;Рыцарь -> Боевой класс
r2;f2;f102;Маг -> Магический класс
r3;f3;f103;Наёмник -> Вольный класс
r4;f4;f104;Жрица -> Духовный класс
r5;f5;f105;Варвар -> Дикий класс

r6;f101,f6;f120;Боевой класс + Алендор -> Рыцарь Алендора
r7;f101,f7;f121;Боевой класс + Моргир -> Рыцарь Моргира
r8;f101,f8;f122;Боевой класс + Тарн -> Рыцарь Тарна
r9;f101,f9;f123;Боевой класс + Хольм -> Рыцарь Хольма
r10;f101,f10;f124;Боевой класс + Эльдаран -> Рыцарь Эльдарана
r11;f102,f6;f125;Маг + Алендор -> Маг Алендора
r12;f102,f7;f126;Маг + Моргир -> Маг Моргира
r13;f102,f8;f127;Маг + Тарн -> Маг Тарна
r14;f102,f9;f128;Маг + Хольм -> Маг Хольма
r15;f102,f10;f129;Маг + Эльдаран -> Маг Эльдарана
r16;f103,f6;f106;Наёмник + Алендор -> Наёмник-ветеран
r17;f104,f7;f108;Жрица + Моргир -> Жрица-священник
r18;f105,f8;f109;Варвар + Тарн -> Варвар-воитель
r19;f105,f9;f105;Варвар + Хольм -> Дикий класс
r20;f104,f10;f108;Жрица + Эльдаран -> Жрица-священник

r21;f120,f130;f154;Рыцарь Алендора + Зона священная -> Угроза магическая
r22;f120,f131;f155;Рыцарь Алендора + Зона руин -> Угроза воинская
r23;f120,f132;f156;Рыцарь Алендора + Зона магическая -> Угроза духовная
r24;f121,f133;f157;Рыцарь Моргира + Зона катакомб -> Угроза природная
r25;f121,f134;f158;Рыцарь Моргира + Зона моста -> Угроза нежити
r26;f122,f135;f159;Рыцарь Тарна + Зона кристаллов -> Угроза драконов
r27;f122,f136;f160;Рыцарь Тарна + Зона амулетов -> Угроза орков
r28;f123,f137;f161;Рыцарь Хольма + Зона мечей -> Угроза тёмных магов
r29;f123,f138;f162;Рыцарь Хольма + Зона щитов -> Угроза проклятий
r30;f124,f139;f163;Рыцарь Эльдарана + Зона колец -> Угроза древних существ
r31;f125,f140;f164;Маг Алендора + Зона свитков -> Угроза хаоса
r32;f126,f141;f165;Маг Моргира + Зона энергии -> Угроза разрушения
r33;f127,f142;f166;Маг Тарна + Зона печатей -> Угроза тьмы
r34;f128,f143;f167;Маг Хольма + Зона вторжений -> Угроза лесов
r35;f129,f144;f168;Маг Эльдарана + Зона нападений -> Угроза гор
r36;f120,f145;f169;Рыцарь Алендора + Зона восстаний -> Угроза равнин
r37;f121,f146;f170;Рыцарь Моргира + Зона ритуалов -> Угроза болот
r38;f122,f147;f171;Рыцарь Тарна + Зона тайных союзов -> Угроза стихий
r39;f123,f148;f172;Рыцарь Хольма + Зона магических защит -> Угроза артефактов
r40;f124,f149;f173;Рыцарь Эльдарана + Зона разрушения -> Угроза ритуалов
r41;f125,f150;f174;Маг Алендора + Зона приключений -> Угроза союзников
r42;f126,f151;f175;Маг Моргира + Зона красных помидоров -> Угроза врагов
r43;f127,f152;f176;Маг Тарна + Зона черных обезьян -> Угроза магических защит
r44;f128,f153;f177;Маг Хольма + Зона стервятников -> Угроза разрушения зданий
r45;f120,f154;f178;Рыцарь Алендора + Угроза магическая -> Угроза ослабления магии
r46;f121,f155;f179;Рыцарь Моргира + Угроза воинская -> Угроза невидимая
r47;f122,f156;f180;Рыцарь Тарна + Угроза духовная -> Угроза смертельная

// Угрозы + Артефакты -> Пути решения
r48;f154,f21;f181;Угроза магическая + Магический меч -> Путь защиты
r49;f154,f22;f182;Угроза магическая + Древний посох -> Путь атаки
r50;f154,f23;f183;Угроза магическая + Чёрный амулет -> Путь исцеления
r51;f154,f24;f184;Угроза магическая + Священный щит -> Путь магии
r52;f154,f25;f185;Угроза магическая + Кольцо власти -> Путь боевых искусств
r53;f155,f21;f186;Угроза воинская + Магический меч -> Путь разведки
r54;f155,f22;f187;Угроза воинская + Древний посох -> Путь защиты артефактов
r55;f155,f23;f188;Угроза воинская + Чёрный амулет -> Путь разрушения
r56;f155,f24;f189;Угроза воинская + Священный щит -> Путь нейтрализации угроз
r57;f155,f25;f190;Угроза воинская + Кольцо власти -> Путь союзов
r58;f156,f21;f191;Угроза духовная + Магический меч -> Путь контрмагии
r59;f156,f22;f192;Угроза духовная + Древний посох -> Путь ловушек
r60;f156,f23;f193;Угроза духовная + Чёрный амулет -> Путь секретных знаний
r61;f156,f24;f194;Угроза духовная + Священный щит -> Путь исследования
r62;f156,f25;f195;Угроза духовная + Кольцо власти -> Путь древних тайн
r63;f157,f21;f196;Угроза природная + Магический меч -> Путь защиты леса
r64;f157,f22;f197;Угроза природная + Древний посох -> Путь защиты гор
r65;f157,f23;f198;Угроза природная + Чёрный амулет -> Путь защиты равнин
r66;f157,f24;f199;Угроза природная + Священный щит -> Путь защиты болот
r67;f157,f25;f200;Угроза природная + Кольцо власти -> Путь магической защиты

r68;f158,f21;f201;Угроза нежити + Магический меч -> Путь тёмной магии
r69;f158,f22;f202;Угроза нежити + Древний посох -> Путь света
