r1;f1;f41;Рыцарь -> Боевой класс;
r2;f2;f42;Маг -> Магический класс;
r3;f3;f45;Наёмник -> Теневой путь;
r4;f4;f43;Жрица -> Духовный путь;
r5;f5;f44;Варвар -> Дикий путь;

r6;f6;f51;Королевство Алендор -> Связь с королевством;
r7;f7;f51;Королевство Моргир -> Связь с королевством;
r8;f8;f51;Королевство Тарн -> Связь с королевством;
r9;f9;f51;Королевство Хольм -> Связь с королевством;
r10;f10;f51;Королевство Эльдаран -> Связь с королевством;

r11;f11;f56;Северные земли -> Северный поход;
r12;f12;f57;Тёмные леса -> Лесная кампания;
r13;f13;f58;Солнечные равнины -> Поход равнин;
r14;f14;f59;Горные вершины -> Горная экспедиция;
r15;f15;f60;Туманные болота -> Болотная миссия;

r16;f16;f71;Дракон -> Драконья угроза;
r17;f17;f72;Гоблин -> Нашествие гоблинов;
r18;f18;f73;Тролль -> Ярость троллей;
r19;f19;f74;Волшебный зверь -> Звериный хаос;
r20;f20;f75;Нежить -> Восстание нежити;

r21;f21;f81;Магический меч -> Путь силы;
r22;f22;f82;Древний посох -> Путь мудрости;
r23;f23;f85;Чёрный амулет -> Путь тени;
r24;f24;f83;Священный щит -> Путь веры;
r25;f25;f84;Кольцо власти -> Путь ярости;

r26;f26;f61;Магия огня -> Контроль огня;
r27;f27;f62;Магия воды -> Контроль воды;
r28;f28;f63;Магия воздуха -> Контроль воздуха;
r29;f29;f64;Магия земли -> Контроль земли;
r30;f30;f65;Магия тьмы -> Контроль тьмы;

r31;f31;f66;Заброшенная крепость -> Штурм крепости;
r32;f32;f67;Древний храм -> Очищение храма;
r33;f33;f68;Катакомбы -> Исследование катакомб;
r34;f34;f69;Магическая башня -> Защита башни;
r35;f35;f70;Разрушенный мост -> Восстановление моста;

r36;f36;f78;Угроза миру -> Сломанное равновесие;
r37;f37;f55;Мирное время -> Благословлённый герой;
r38;f38;f53;Пророчество -> Избранник пророчества;
r39;f39;f88;Ослабление магии -> Падение магии;
r40;f40;f79;Рост тьмы -> Потерянное знание;

r41;f41,f71;f48;Боевой класс + Драконья угроза -> Охотник на чудовищ;
r42;f42,f75;f47;Магический класс + Восстание нежити -> Проводник магии;
r43;f43,f78;f49;Духовный путь + Сломанное равновесие -> Хранитель веры;
r44;f44,f72;f50;Дикий путь + Нашествие гоблинов -> Разрушитель орд;
r45;f45,f73;f48;Теневой путь + Ярость троллей -> Охотник на чудовищ;

r46;f61,f76;f77;Контроль огня + Древний ритуал -> Печать стихий;
r47;f62,f76;f77;Контроль воды + Древний ритуал -> Печать стихий;
r48;f63,f76;f77;Контроль воздуха + Древний ритуал -> Печать стихий;
r49;f64,f76;f77;Контроль земли + Древний ритуал -> Печать стихий;
r50;f65,f76;f80;Контроль тьмы + Древний ритуал -> Запретная магия;

r51;f56,f71;f90;Северный поход + Драконья угроза -> Последний шанс;
r52;f57,f72;f90;Лесная кампания + Нашествие гоблинов -> Последний шанс;
r53;f58,f73;f90;Поход равнин + Ярость троллей -> Последний шанс;
r54;f59,f74;f90;Горная экспедиция + Звериный хаос -> Последний шанс;
r55;f60,f75;f90;Болотная миссия + Восстание нежити -> Последний шанс;

r56;f66,f71;f78;Штурм крепости + Драконья угроза -> Сломанное равновесие;
r57;f67,f75;f78;Очищение храма + Восстание нежити -> Сломанное равновесие;
r58;f68,f73;f79;Исследование катакомб + Ярость троллей -> Потерянное знание;
r59;f69,f72;f78;Защита башни + Нашествие гоблинов -> Сломанное равновесие;
r60;f70,f74;f78;Восстановление моста + Звериный хаос -> Сломанное равновесие;

r61;f81,f71;f71;Путь силы + Драконья угроза -> Драконья угроза;
r62;f82,f79;f82;Путь мудрости + Потерянное знание -> Путь мудрости;
r63;f83,f78;f83;Путь веры + Сломанное равновесие -> Путь веры;
r64;f84,f72;f84;Путь ярости + Нашествие гоблинов -> Путь ярости;
r65;f85,f75;f85;Путь тени + Восстание нежити -> Путь тени;

r66;f53,f77;f89;Избранник пророчества + Печать стихий -> Возрождение древних;
r67;f88,f80;f87;Падение магии + Запретная магия -> Раскол мира;
r68;f90,f78;f86;Последний шанс + Сломанное равновесие -> Союз королевств;
r69;f79,f82;f82;Потерянное знание + Путь мудрости -> Путь мудрости;
r70;f55,f83;f55;Благословлённый герой + Путь веры -> Благословлённый герой;

r71;f48,f71;f71;Охотник на чудовищ + Драконья угроза -> Драконья угроза;
r72;f47,f75;f75;Проводник магии + Восстание нежити -> Восстание нежити;
r73;f49,f78;f83;Хранитель веры + Сломанное равновесие -> Путь веры;
r74;f50,f72;f72;Разрушитель орд + Нашествие гоблинов -> Нашествие гоблинов;
r75;f48,f73;f73;Охотник на чудовищ + Ярость троллей -> Ярость троллей;

r76;f86,f90;f90;Союз королевств + Последний шанс -> Последний шанс;
r77;f87,f90;f90;Раскол мира + Последний шанс -> Последний шанс;
r78;f89,f90;f90;Возрождение древних + Последний шанс -> Последний шанс;
r79;f88,f90;f90;Падение магии + Последний шанс -> Последний шанс;
r80;f78,f90;f90;Сломанное равновесие + Последний шанс -> Последний шанс;

r81;f71,f90;f301;Драконья угроза + Последний шанс -> Великий квест: уничтожение дракона;
r82;f75,f90;f302;Восстание нежити + Последний шанс -> Великий квест: очищение мира от нежити;
r83;f78,f90;f306;Сломанное равновесие + Последний шанс -> Великий квест: предотвращение катастрофы;
r84;f79,f90;f303;Потерянное знание + Последний шанс -> Великий квест: восстановление магического баланса;
r85;f89,f90;f307;Возрождение древних + Последний шанс -> Великий квест: объединение королевств;

r86;f86,f90;f300;Союз королевств + Последний шанс -> Великий квест: защита королевства;
r87;f87,f90;f309;Раскол мира + Последний шанс -> Великий квест: последний рубеж человечества;
r88;f88,f90;f303;Падение магии + Последний шанс -> Великий квест: восстановление магического баланса;
r89;f55,f90;f304;Благословлённый герой + Последний шанс -> Великий квест: исполнение пророчества;
